city,latitude,longitude,date,temperature_max,temperature_min,precipitation,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code
Casablanca,33.5625,-7.625,2026-09-17,25.4,19.9,0.0,0,12.2,35.6,3
Casablanca,33.5625,-7.625,2026-09-18,25.2,18.3,0.0,0,11.9,32.4,3
Casablanca,33.5625,-7.625,2026-09-19,26.7,19.5,0.0,0,11.5,32.0,45
Casablanca,33.5625,-7.625,2026-09-20,29.1,21.3,0.0,0,9.7,29.2,2
Casablanca,33.5625,-7.625,2026-09-21,28.4,21.5,0.0,0,9.5,28.1,45
Casablanca,33.5625,-7.625,2026-09-22,29.7,20.8,0.0,0,11.4,29.9,45
Casablanca,33.5625,-7.625,2026-09-23,28.7,20.9,0.0,0,12.3,32.4,45
Tangier,35.75,-5.8125,2026-09-17,26.9,17.6,0.0,0,10.6,25.6,3
Tangier,35.75,-5.8125,2026-09-18,28.1,19.0,0.0,0,20.3,47.5,3
Tangier,35.75,-5.8125,2026-09-19,27.8,22.5,0.0,0,31.1,74.9,2
Tangier,35.75,-5.8125,2026-09-20,28.6,24.2,0.0,0,31.3,76.3,2
Tangier,35.75,-5.8125,2026-09-21,28.4,23.0,0.0,0,28.1,66.6,2
Tangier,35.75,-5.8125,2026-09-22,26.6,22.4,0.0,0,32.8,60.8,2
Tangier,35.75,-5.8125,2026-09-23,27.5,22.3,0.0,0,29.3,54.7,1
Fès,34.0625,-5.0,2026-09-17,29.0,18.1,0.0,0,12.0,32.8,3
Fès,34.0625,-5.0,2026-09-18,31.6,17.9,0.0,0,9.8,26.6,2
Fès,34.0625,-5.0,2026-09-19,34.3,21.2,0.0,0,18.9,47.9,2
Fès,34.0625,-5.0,2026-09-20,36.2,22.3,0.0,0,15.4,41.4,3
Fès,34.0625,-5.0,2026-09-21,35.5,22.8,0.0,0,13.9,34.9,3
Fès,34.0625,-5.0,2026-09-22,35.4,21.7,0.0,0,11.3,28.8,1
Fès,34.0625,-5.0,2026-09-23,36.0,22.0,0.0,0,12.3,30.2,1
Marrakech,31.625,-8.0,2026-09-17,30.4,18.4,0.0,0,10.5,31.7,2
Marrakech,31.625,-8.0,2026-09-18,32.5,18.6,0.0,0,8.0,23.4,3
Marrakech,31.625,-8.0,2026-09-19,36.3,21.1,0.2,8,9.0,27.4,3
Marrakech,31.625,-8.0,2026-09-20,38.1,24.1,0.6,13,12.7,36.7,3
Marrakech,31.625,-8.0,2026-09-21,38.0,23.5,0.9,8,12.2,38.9,3
Marrakech,31.625,-8.0,2026-09-22,36.6,22.2,0.0,0,14.0,25.2,1
Marrakech,31.625,-8.0,2026-09-23,36.5,20.5,0.0,3,13.3,23.4,2
Sale,34.0,-6.8125,2026-09-17,25.6,18.7,0.0,0,11.8,31.3,3
Sale,34.0,-6.8125,2026-09-18,26.0,17.0,0.0,0,14.1,36.0,45
Sale,34.0,-6.8125,2026-09-19,28.9,17.3,0.0,0,12.4,32.0,2
Sale,34.0,-6.8125,2026-09-20,29.9,21.0,0.0,0,11.0,28.4,2
Sale,34.0,-6.8125,2026-09-21,29.3,21.6,0.0,0,11.8,31.0,1
Sale,34.0,-6.8125,2026-09-22,27.3,20.8,0.0,0,11.4,26.6,45
Sale,34.0,-6.8125,2026-09-23,27.2,20.1,0.0,0,11.9,28.4,45
Meknès,33.875,-5.5625,2026-09-17,27.9,15.6,0.0,0,13.1,34.9,45
Meknès,33.875,-5.5625,2026-09-18,30.0,16.0,0.0,0,12.4,33.8,3
Meknès,33.875,-5.5625,2026-09-19,34.2,19.1,0.0,0,12.9,35.3,2
Meknès,33.875,-5.5625,2026-09-20,36.1,21.5,0.0,0,12.4,36.7,3
Meknès,33.875,-5.5625,2026-09-21,35.6,21.4,0.0,3,14.8,38.2,1
Meknès,33.875,-5.5625,2026-09-22,34.1,19.5,0.0,0,14.8,34.2,1
Meknès,33.875,-5.5625,2026-09-23,35.3,20.0,0.0,0,16.1,36.7,1
Rabat,34.0,-6.8125,2026-09-17,25.6,18.8,0.0,0,11.8,31.3,3
Rabat,34.0,-6.8125,2026-09-18,26.1,17.0,0.0,0,14.1,36.0,45
Rabat,34.0,-6.8125,2026-09-19,28.9,17.4,0.0,0,12.4,32.0,2
Rabat,34.0,-6.8125,2026-09-20,30.0,21.0,0.0,0,11.0,28.4,2
Rabat,34.0,-6.8125,2026-09-21,29.3,21.6,0.0,0,11.8,31.0,1
Rabat,34.0,-6.8125,2026-09-22,27.4,20.9,0.0,0,11.4,26.6,45
Rabat,34.0,-6.8125,2026-09-23,27.3,20.2,0.0,0,11.9,28.4,45
Agadir,30.4375,-9.5625,2026-09-17,28.8,20.6,0.0,0,13.7,37.8,3
Agadir,30.4375,-9.5625,2026-09-18,26.3,19.8,0.0,0,13.0,36.4,2
Agadir,30.4375,-9.5625,2026-09-19,26.6,20.7,0.0,0,13.7,39.2,2
Agadir,30.4375,-9.5625,2026-09-20,27.7,20.8,0.0,0,13.0,38.2,45
Agadir,30.4375,-9.5625,2026-09-21,29.9,22.2,0.0,0,11.3,34.2,45
Agadir,30.4375,-9.5625,2026-09-22,38.3,22.5,0.0,0,17.2,33.1,1
Agadir,30.4375,-9.5625,2026-09-23,37.5,22.2,0.0,0,14.0,28.4,0
Kenitra,34.25,-6.5625,2026-09-17,26.3,18.3,0.0,0,11.9,29.9,3
Kenitra,34.25,-6.5625,2026-09-18,27.7,16.0,0.0,0,14.3,36.4,45
Kenitra,34.25,-6.5625,2026-09-19,33.7,17.3,0.0,0,16.1,40.3,45
Kenitra,34.25,-6.5625,2026-09-20,34.6,20.4,0.0,0,12.9,32.8,1
Kenitra,34.25,-6.5625,2026-09-21,32.8,21.1,0.0,0,13.0,33.8,45
Kenitra,34.25,-6.5625,2026-09-22,27.6,20.4,0.0,0,11.8,27.4,45
Kenitra,34.25,-6.5625,2026-09-23,28.3,19.6,0.0,0,12.6,29.5,45
Oujda-Angad,34.6875,-1.9375,2026-09-17,28.6,15.6,0.0,0,17.5,36.4,3
Oujda-Angad,34.6875,-1.9375,2026-09-18,27.6,16.8,0.0,5,18.6,40.3,45
Oujda-Angad,34.6875,-1.9375,2026-09-19,29.5,18.5,0.1,33,21.7,45.4,45
